hex,confTime,timeGuessed
44961068d853255c4dc139a8473ccd203df401afb9aa50b11c4362ac6b8efb2b,3.000977039,1
0a38b4739f62ff43b1039f63641c1cd522c80d67f6218db8551f4cd2a8e1187c,1.000324726,1
06790089c691802d8594807a99ca1815ff0f88f207b21e573ff43447a67f8750,25.00969744,7
0020a5f0369e6f342cbf1d709408b4c3257e4e6c79593089a18a8e0f23e23325,2.000652313,1
17adbfa3a046de7c1dac2d9ee9c169ba16a6c1103597b5e3256e5f019ad67940,8.001606941,2
31d8edb99534fd4800651db4d241d86e0380fa7376718b88590c2d772b41d5f4,2.000649929,1
067b88b5ae351c6e0ff4a7b0f7d4a5524dbee6dc0f4fcb2e3dea23bdb7ef032c,5.001028538,2
094ddb88d39f86c9b2c75fd2ad5de9c0865a428af2a36dc6a37fa27d426689f9,2.000547171,2
0720ff0e824723b049f4409fd29e0305d6f3d13dff65cd57d72bbc20c918308e,12.01414275,5
1dc43dab243ecfa3cc71b4fbc230ffd813798c72d1d55108c8b954a983d70f3d,1.000331402,1
0a01fcd34ca5e3a1b1e59d6205169f260241f448aa42725d1a659bad221708bf,4.020992041,2
05fe5789313b00eaf4531bc8f3041177b43ec718d062906c1685fe0cbc3aa7bd,12.00104356,3
1fdc5156dff53e1ed8febfd0bfdfeedba271cde3e7bae67acd44e715a1badc78,4.003091335,1
1dce0fdeb3a530efb720b672255f7b382e5ff11050d05444d27aeb22e34550f9,1.000323534,1
03fee71bd849238ce62eccc8178a53d9c3ad5387c0759d2304df41e2fb036192,17.02881026,3
4321a844ee760ee6ca5575a7c16c34d2a40ec1b3d76003681b8a3848dc1f4cc5,1.015291691,1
0ad8c7dbf6652ff77915da99c90af4188fb193a6be4bdc354ad963277b6c8d94,7.008669376,2
1eef748f055a34585f37dff727f76cd6e8cdcd783e24fd896ec5a775bb172b29,2.000335455,1
062d1147a84463e07663fd6e18ecc1dc5eba5682b180c50a7a3fa4ee57eedaf0,5.000615358,2
0978243e4aa32d1fd946ee304694ecffeda1c0d66a41502687eb6f57c503aa31,5.00162816,2
1c0a41630b5cac336389be45847d61015327e5dc9affe92b726f182ad0f1c997,8.001509666,2
315ef9b31f21c15d6dc3cd731a7dbfa3ddba2d29ba05f638cf89c850f1d20fbf,2.000365734,2
0aef7080e0ce1621f216a7ba9b4bae62225a59f14210c8191cc75388df4bcf9d,2.00065136,1
0aef7080e0ce1621f216a7ba9b4bae62225a59f14210c8191cc75388df4bcf9d,4.000090361,1
22492061879a16b906982f2381ad3b4091282f6ed1cbcc7e0fe4ba370af18e98,2.001596689,1
1346eb73396d16d6d4783298e85a06d0b8df8e53e39cc7f661fa8c9f8a69d66a,7.018574715,3
166ef5a9db1ef1103a1dc744f8bc7cb59eb94fd6e7f48a6cd60c0e706ee9881e,4.000168324,1
115cdbde8d595a04ac839f69c0c0ceca4e9c85820221cf6fdecf925f1191dc29,4.016231298,1
287c61d8094184d4af06de7cd0e2e302e8bcde4a77cee99931fd70536238cee0,10.01433396,3
0a38b4739f62ff43b1039f63641c1cd522c80d67f6218db8551f4cd2a8e1187c,4.025451422,1
06ddfc2283d42441bfd8ac1a98a7813e13eeb45e93e94c91419093d67f528be9,1.000926018,1
0927a0c81213ef0edd8c33cb3046bf366f80bfe674a15d3ecad347edd5a686ce,2.000551701,1
0e1a3aec7fd93fa52fea73290fec50e6cf62fb1fa6d03b9ebc0a0a3272232339,4.001171827,1
13990937ab8ca4413751a9012a31255e72a18ba3ac8d5c83dd511df50cf2a3e1,1.014424324,1
01957f152c2670a504f5fc1d046ddae442b41ea15ef898eb9381f3026fe81bfb,6.001249552,2
00bc4cd66feab50cbc6709f59677f4baee4eafcfc83142f51bcfc968f0b34b05,16.00205588,4
1483c82372b98e6864d52a9e4a66c92ac7b568d7f2ffca7f405ea0853af10e89,5.029821157,1
3bd5092b9ea53e9b57ea1430889a69a854a954040d57e061de5ce31b1c854bb3,5.001008749,1
22cbfdf6f6b2a05b3f7c91650cfc50082409c1f24c15951ad10b28517786dcee,2.01489234,1
0b67506c5e6130a67fdd6884d3d774ca2463cec2ffbda01fe2efe8cac46b6bc3,6.021021366,2
1662056e209def686fd0248b48a5e0ddc34b39894ced502889d3e2be7aff07e5,2.000741482,1
